,Caution
0,"You should not take this medicine if you have ever had an allergic reaction to any medicine that contains abacavir, if you have moderate to severe liver disease, or if you have a gene variation called HLA-B*5701 allele."
1,"You should not take this medicine if you have ever had an allergic reaction to any medicine that contains abacavir, or if you have a gene variation called HLA-B*5701 allele. Also, you should not use this medicine if you have moderate or severe liver disease, or if you are also taking dofetilide (Tikosyn)."
2,"You should not take  abacavir and lamivudine if you have liver disease, or if you have ever tested positive for a gene variation called HLA-B*5701. Do not take this medicine if you have ever had an allergic reaction to any medicine that contains abacavir or lamivudine."
3,None
4,"Stop taking this medicine and call your doctor at once if you have signs of an allergic reaction: fever; rash; nausea, vomiting, diarrhea, stomach pain; general ill feeling, extreme tiredness, body aches; shortness of breath, cough, sore throat."
5,None
6,None
7,None
8,None
9,Abaloparatide has caused bone cancer (osteosarcoma) in animals but it is not known whether this would occur in people using  abaloparatide. Talk with your doctor about your own risk.
10,None
11,None
12,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13,None
14,None
15,None
16,None
17,None
18,"Do not use cough or cold medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include furazolidone, isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
19,None
20,None
21,None
22,None
23,"Tell your caregivers if you feel feverish, light-headed, or short of breath while you are receiving  Abelcet."
24,"Abemaciclib can cause severe diarrhea, which can lead to dehydration or infection. Call your doctor right away if you have diarrhea. Drink extra fluids and start taking anti-diarrhea medicine such as loperamide (Imodium)."
25,None
26,None
27,None
28,None
29,None
30,Abilify Discmelt is not approved for use in older adults with dementia-related psychosis.
31,None
32,None
33,Abilify Maintena is not approved for use in older adults with dementia-related psychosis.
34,None
35,Abiraterone tablets should not be handled by a woman who is pregnant or who may become pregnant. This medicine can harm an unborn baby or cause miscarriage.
36,None
37,None
38,None
39,None
40,None
41,The botulinum toxin contained in Dysport can spread to other body areas beyond where it was injected. This can cause serious life-threatening side effects.
42,None
43,None
44,You should not be treated with Abraxane if you have a very low white blood cell count.
45,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
46,None
47,None
48,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
49,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
50,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
51,None
52,None
53,Absorica in just a single dose can cause severe birth defects or death of a baby. Never use  Absorica if you are pregnant or may become pregnant.
54,None
55,None
56,None
57,None
58,None
59,This medicine can make it easier for you to bleed. Contact your doctor or seek emergency medical attention if you have any bleeding that will not stop.
60,None
61,You should not use acamprosate if you have severe kidney disease.
62,None
63,"You should not use acarbose if you have inflammatory bowel disease, an ulcer or blockage in your intestines, or cirrhosis of the liver. Do not use acarbose if you are in a state of diabetic ketoacidosis (call your doctor for treatment with insulin)."
64,None
65,None
66,None
67,None
68,None
69,"Do not take this combination medicine if you also take other medicines that contain emtricitabine, tenofovir, lamivudine, or adefovir."
70,"You should not take this medicine if you have severe liver or kidney disease, or if you are allergic to emtricitabine (Emtriva, Atripla), lopinavir (Kaletra), ritonavir (Norvir), or tenofovir (Viread). Do not take this medicine with other medicines that also contain emtricitabine or tenofovir (Atripla, Emtriva, Viread)."
71,"You should not take this medicine if you have severe liver or kidney disease. Do not take if you also use other medicines that contain emtricitabine, tenofovir, or lamivudine."
72,None
73,None
74,None
75,You should not use this medicine if you have liver disease (including cirrhosis).
76,None
77,None
78,None
79,None
80,None
81,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
82,None
83,None
84,"Do not use if you are pregnant. If you become pregnant, stop taking  Accuretic and tell your doctor right away."
85,None
86,None
87,None
88,None
89,"You should not use acebutolol if you have a serious heart condition such as ""AV block"" (2nd or 3rd degree), severe heart failure, or slow heartbeats that have caused you to faint."
90,None
91,None
92,"Do not Aceon use if you are pregnant. If you become pregnant, stop taking this medicine and tell your doctor right away."
93,None
94,"Do not use more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
95,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
96,None
97,None
98,None
99,None
100,"Do not give this medicine to a child or teenager with a fever, flu symptoms, or chicken pox. Aspirin can cause Reye's syndrome, a serious and sometimes fatal condition in children."
101,None
102,None
103,None
104,None
105,"MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
106,Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death.
107,"You should not use  acetaminophen, butalbital, and caffeine if you have porphyria, or if you have recently used alcohol, sedatives, tranquilizers, or other narcotic medications."
108,"MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
