,Link,Name
0,https://www.drugs.com/mtm/abacavir.html,Abacavir
1,https://www.drugs.com/mtm/abacavir-dolutegravir-and-lamivudine.html,"Abacavir, dolutegravir, and lamivudine"
2,https://www.drugs.com/mtm/abacavir-and-lamivudine.html,Abacavir and lamivudine
3,https://www.drugs.com/pro/abacavir-and-lamivudine-tablets.html,Abacavir and Lamivudine Tablets
4,https://www.drugs.com/mtm/abacavir-lamivudine-and-zidovudine.html,"Abacavir, lamivudine, and zidovudine"
5,https://www.drugs.com/pro/abacavir-lamivudine-and-zidovudine-tablets.html,"Abacavir, Lamivudine and Zidovudine Tablets"
6,https://www.drugs.com/cdi/abacavir-oral-solution.html,Abacavir Oral Solution
7,https://www.drugs.com/pro/abacavir-sulfate-tablets.html,Abacavir Sulfate Tablets
8,https://www.drugs.com/cdi/abacavir-tablets.html,Abacavir Tablets
9,https://www.drugs.com/mtm/abaloparatide.html,Abaloparatide
10,https://www.drugs.com/cons/abaloparatide-subcutaneous.html,Abaloparatide Subcutaneous
11,https://www.drugs.com/ppa/abametapir.html,Abametapir
12,https://www.drugs.com/mtm/abatacept.html,Abatacept
13,https://www.drugs.com/cdi/abatacept-auto-injectors.html,Abatacept Auto-Injectors
14,https://www.drugs.com/cdi/abatacept-infusion.html,Abatacept Infusion
15,https://www.drugs.com/cons/abatacept-intravenous.html,Abatacept Intravenous
16,https://www.drugs.com/cdi/abatacept-prefilled-syringes.html,Abatacept Prefilled Syringes
17,https://www.drugs.com/cdi/abatron.html,Abatron
18,https://www.drugs.com/mtm/abatuss-dmx.html,Abatuss DMX
19,https://www.drugs.com/cons/abbokinase.html,Abbokinase
20,https://www.drugs.com/cdi/abciximab.html,Abciximab
21,https://www.drugs.com/cons/abciximab-intravenous.html,Abciximab Intravenous
22,https://www.drugs.com/cdi/abdek.html,ABDEK
23,https://www.drugs.com/mtm/abelcet.html,Abelcet
24,https://www.drugs.com/mtm/abemaciclib.html,Abemaciclib
25,https://www.drugs.com/cons/abenol.html,Abenol
26,https://www.drugs.com/abilify.html,Abilify
27,https://www.drugs.com/cdi/abilify-aripiprazole-injection.html,Abilify (Aripiprazole Injection)
28,https://www.drugs.com/cdi/abilify-aripiprazole-oral-solution.html,Abilify (Aripiprazole Oral Solution)
29,https://www.drugs.com/cdi/abilify-aripiprazole-tablets.html,Abilify (Aripiprazole Tablets)
30,https://www.drugs.com/mtm/abilify-discmelt.html,Abilify Discmelt
31,https://www.drugs.com/cons/abilify-intramuscular.html,Abilify Intramuscular
32,https://www.drugs.com/cdi/abilify-maintena.html,Abilify Maintena
33,https://www.drugs.com/mtm/abilify-maintena-injection.html,Abilify Maintena injection
34,https://www.drugs.com/cdi/abilify-mycite.html,Abilify MyCite
